task,arm,step,template,factor,constructor_sha256,candidate_sha256
361247,memory,1,one:median-reference,1.0,f4907da5a37c849173a81898d049f8fe464b2d7f5612f459800ee9ca985d6e57,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361247,memory,2,base:linear,1.0,00f600012e2e89222e69ce88a2867680be8c42687235fe3d6c72fe2d259f5de5,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361247,memory,3,base:random-forest,1.0,f429e3f438ea30aba07e8c96ba8ada010fc574ada764ec1615ba6194f3d8b59e,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361247,memory,4,base:rbf-1,1.0,798b28288cefd72ae70152dd046b1cbc20b5e98db4d1f704abd9495c489d6419,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361247,memory,5,one:absolute-boost,1.0,0f10b3f959b780abef68a63e6e91b70b2bada8161465365c7153ad08940150af,48a23bad7a6c3af0b7ade8cb62c5d2d5f8c7afcbb382167fe68544838b7becc3
361247,memory,6,one:absolute-forest,1.0,a844bd6af5e76f007ca0d9f0b9962d53f4cd5f9d44a220625688959f46a465d7,4dec2039e766e89f785a368244067e6ec39dce6b4f21d5a87aaf4d64522cf403
361247,memory,7,two:log-svr,1.0,5c9d0154b9bf916a3c05aa30b0157feeb61b1e75b20facaeb746b9d464d69cb0,a16b22e23b80a7cb3cacdc2770bc43cf3a0799d30b5c81735132a115b2e624fd
361247,memory,8,one:svr-tight,1.0,88b299ea3e87b9f779dfd430460c52a356f178910c501dd27506f884397729d6,7121b2ce49307940769e08e46768930ead7cfe425ef78ddabc2cf9c5235021bf
361247,parent,1,one:median-reference,1.0,f4907da5a37c849173a81898d049f8fe464b2d7f5612f459800ee9ca985d6e57,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361247,parent,2,base:linear,1.0,00f600012e2e89222e69ce88a2867680be8c42687235fe3d6c72fe2d259f5de5,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361247,parent,3,base:random-forest,1.0,f429e3f438ea30aba07e8c96ba8ada010fc574ada764ec1615ba6194f3d8b59e,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361247,parent,4,base:rbf-1,1.0,798b28288cefd72ae70152dd046b1cbc20b5e98db4d1f704abd9495c489d6419,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361247,parent,5,base:random-forest,0.3,67bd8b429a2a217b20810887cfbd984331ebc7b147d7fb215379c3142ada9380,35b4d2f651bde569852f078546d2b9a9c19416682864113a3737353a837b4611
361247,parent,6,base:random-forest,3.0,8ed7bb29d085f46b7b8c40d82151e5c2e9fcabdc746b92c3df7c99833c4b95b5,12a6a4187e6f00c052919665eff5d8e41a8a8d585160ab7a5d4ac3f28e5db986
361247,parent,7,base:random-forest,0.33,2737535f27f9dcc818383290d97133669838c9fe2bac511de9c9b6d6cb419ff8,fcc0da0ebd2712e940dcdcb19238ad80b7f0d6a60bcc914740f2fde7651f912d
361247,parent,8,base:random-forest,3.3,770b59e6e3e756376769eddae0c2cfba3a7a06a643b80ce66189ab1daddd1dbc,98f0bf037cf4232cfd1e4bb913b450d8fd08960d2474522b5ee3378b6d11e4af
361247,harness,1,one:median-reference,1.0,f4907da5a37c849173a81898d049f8fe464b2d7f5612f459800ee9ca985d6e57,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361247,harness,2,base:linear,1.0,00f600012e2e89222e69ce88a2867680be8c42687235fe3d6c72fe2d259f5de5,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361247,harness,3,base:random-forest,1.0,f429e3f438ea30aba07e8c96ba8ada010fc574ada764ec1615ba6194f3d8b59e,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361247,harness,4,base:rbf-1,1.0,798b28288cefd72ae70152dd046b1cbc20b5e98db4d1f704abd9495c489d6419,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361247,harness,5,one:absolute-forest,0.3,6d8ad1c9c21ec42ca804910b49402119949696f19af6988d1b1566d892d0c3de,0665d52496ae28e8d84cd5b8472b46682ca2f01a43dcb8f9e71322021d193c3f
361247,harness,6,base:random-forest,3.0,8ed7bb29d085f46b7b8c40d82151e5c2e9fcabdc746b92c3df7c99833c4b95b5,12a6a4187e6f00c052919665eff5d8e41a8a8d585160ab7a5d4ac3f28e5db986
361247,harness,7,one:absolute-forest,0.33,86d97f0d5db6e6dd80698bac150a4df69b1525d30a0295743104b8a85aacda20,a848858037efc1a846bc39358ed0f3904c7368f6c6b16388b6ae948ce09ebbee
361247,harness,8,base:random-forest,3.3,770b59e6e3e756376769eddae0c2cfba3a7a06a643b80ce66189ab1daddd1dbc,98f0bf037cf4232cfd1e4bb913b450d8fd08960d2474522b5ee3378b6d11e4af
